,,SAC-LSTM,,,,SAC-FF,,,,LC,,,
,$ bs text{TC-12} $,$6.7 bs_per $,$ bs SI{3.0e-02}{} $,$8.8 bs_per $,$ bs SI{4.3e-02}{} $,$6.9 bs_per $,$ bs SI{1.9e-02}{} $,bs cellcolor[HTML]{FE996B} $ 10.3 bs_per $,$ bs SI{3.1e-02}{} $,$4.7 bs_per $,$ bs SI{6.8e-02}{} $,$7.5 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{1.5e-01}{} $
,$ bs text{TC-13} $,$6.6 bs_per $,$ bs SI{2.9e-02}{} $,$8.0 bs_per $,$ bs SI{3.8e-02}{} $,$6.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.6e+00}{} $,bs cellcolor[HTML]{FE996B} $ 10.8 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{6.2e+00}{} $,$4.7 bs_per $,$ bs SI{3.8e-02}{} $,$5.9 bs_per $,$ bs SI{5.0e-02}{} $
,$ bs text{TC-14} $,$5.9 bs_per $,$ bs SI{2.8e-02}{} $,$7.7 bs_per $,$ bs SI{3.9e-02}{} $,$6.6 bs_per $,$ bs SI{1.6e-02}{} $,$8.7 bs_per $,$ bs SI{2.6e-02}{} $,$4.7 bs_per $,$ bs SI{3.3e-02}{} $,bs cellcolor[HTML]{FE996B} $ 33.8 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.4e-01}{} $
,$ bs text{TC-15} $,$5.8 bs_per $,$ bs SI{2.8e-02}{} $,$7.8 bs_per $,$ bs SI{3.3e-02}{} $,$6.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{6.9e-01}{} $,$8.5 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{9.5e-01}{} $,$4.6 bs_per $,$ bs SI{2.7e-02}{} $,bs cellcolor[HTML]{FE996B} $ 32.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.5e-01}{} $
,$ bs text{TC-16} $,$5.7 bs_per $,$ bs SI{2.4e-02}{} $,$6.4 bs_per $,$ bs SI{3.1e-02}{} $,$6.2 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{9.2e+00}{} $,$8.9 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{1.0e+01}{} $,$4.6 bs_per $,$ bs SI{2.1e-02}{} $,$5.0 bs_per $,$ bs SI{2.5e-02}{} $
CitAST,$ bs text{TC-1} $,$6.0 bs_per $,$ bs SI{2.8e-02}{} $,$6.4 bs_per $,$ bs SI{4.0e-02}{} $,$7.9 bs_per $,$ bs SI{1.6e-02}{} $,$8.2 bs_per $,$ bs SI{2.7e-02}{} $,$4.6 bs_per $,$ bs SI{3.1e-02}{} $,$5.7 bs_per $,$ bs SI{5.6e-02}{} $
,$ bs text{TC-2} $,$6.9 bs_per $,$ bs SI{6.7e-02}{} $,$8.9 bs_per $,$ bs SI{9.8e-02}{} $,$8.8 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.8e-01}{} $,bs cellcolor[HTML]{FE996B} $ 11.5 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.9e-01}{} $,bs cellcolor[HTML]{FE996B} $ 71.3 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.7e-01}{} $,bs cellcolor[HTML]{FE996B} $ 55.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.9e-01}{} $
,$ bs text{TC-3} $,$6.6 bs_per $,$ bs SI{7.1e-02}{} $,$9.0 bs_per $,$ bs SI{9.1e-02}{} $,$8.8 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{6.6e-01}{} $,bs cellcolor[HTML]{FE996B} $ 11.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{7.8e-01}{} $,bs cellcolor[HTML]{FE996B} $ 68.9 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.9e-01}{} $,bs cellcolor[HTML]{FE996B} $ 63.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.8e-01}{} $
,$ bs text{TC-4} $,$6.9 bs_per $,$ bs SI{6.6e-02}{} $,$8.2 bs_per $,$ bs SI{9.4e-02}{} $,$8.8 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.8e-01}{} $,bs cellcolor[HTML]{FE996B} $ 10.9 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.9e-01}{} $,$5.1 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{6.9e-01}{} $,bs cellcolor[HTML]{FE996B} $ 11.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{7.1e-01}{} $
,$ bs text{TC-5} $,$6.7 bs_per $,$ bs SI{6.8e-02}{} $,$7.4 bs_per $,$ bs SI{8.8e-02}{} $,$8.3 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.4e+00}{} $,$9.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.4e+00}{} $,$4.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.6e-01}{} $,$6.3 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.8e-01}{} $
,$ bs text{TC-6} $,$6.1 bs_per $,$ bs SI{6.4e-02}{} $,$7.1 bs_per $,$ bs SI{8.7e-02}{} $,$8.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.2e-01}{} $,$9.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.5e-01}{} $,bs cellcolor[HTML]{FE996B} $ 40.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.6e-01}{} $,bs cellcolor[HTML]{FE996B} $ 41.3 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.4e-01}{} $
,$ bs text{TC-7} $,$5.8 bs_per $,$ bs SI{6.5e-02}{} $,$7.2 bs_per $,$ bs SI{8.3e-02}{} $,$8.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{7.2e-01}{} $,$9.3 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{7.9e-01}{} $,$4.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.1e-01}{} $,bs cellcolor[HTML]{FE996B} $ 34.2 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.6e-01}{} $
,$ bs text{TC-8} $,$6.0 bs_per $,$ bs SI{6.4e-02}{} $,$6.5 bs_per $,$ bs SI{8.5e-02}{} $,$8.5 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.1e-01}{} $,$8.8 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.2e-01}{} $,$4.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.4e-01}{} $,$6.0 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.7e-01}{} $
,$ bs text{TC-9} $,$5.9 bs_per $,$ bs SI{6.2e-02}{} $,$5.8 bs_per $,$ bs SI{7.8e-02}{} $,$7.8 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{7.8e+00}{} $,$7.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{9.1e+00}{} $,$4.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.6e-01}{} $,$5.3 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.4e-01}{} $
,$ bs text{TC-10} $,$6.8 bs_per $,$ bs SI{3.0e-02}{} $,$8.7 bs_per $,$ bs SI{5.5e-02}{} $,$8.2 bs_per $,$ bs SI{2.0e-02}{} $,bs cellcolor[HTML]{FE996B} $ 11.0 bs_per $,$ bs SI{3.3e-02}{} $,bs cellcolor[HTML]{FE996B} $ 72.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.5e-01}{} $,bs cellcolor[HTML]{FE996B} $ 54.2 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{1.8e-01}{} $
,$ bs text{TC-11} $,$6.6 bs_per $,$ bs SI{2.7e-02}{} $,$8.8 bs_per $,$ bs SI{4.1e-02}{} $,$8.1 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.8e-01}{} $,bs cellcolor[HTML]{FE996B} $ 10.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{7.9e-01}{} $,bs cellcolor[HTML]{FE996B} $ 71.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.5e-01}{} $,bs cellcolor[HTML]{FE996B} $ 53.7 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{1.8e-01}{} $
,$ bs text{TC-12} $,$6.8 bs_per $,$ bs SI{3.0e-02}{} $,$8.1 bs_per $,$ bs SI{4.7e-02}{} $,$8.2 bs_per $,$ bs SI{2.0e-02}{} $,bs cellcolor[HTML]{FE996B} $ 10.4 bs_per $,$ bs SI{3.4e-02}{} $,$5.1 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.7e-01}{} $,bs cellcolor[HTML]{FE996B} $ 10.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.9e-01}{} $
,$ bs text{TC-13} $,$6.7 bs_per $,$ bs SI{2.8e-02}{} $,$7.3 bs_per $,$ bs SI{3.9e-02}{} $,$8.0 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.4e+00}{} $,$9.5 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{4.5e+00}{} $,$4.6 bs_per $,$ bs SI{3.3e-02}{} $,$6.0 bs_per $,$ bs SI{4.3e-02}{} $
,$ bs text{TC-14} $,$6.0 bs_per $,$ bs SI{2.8e-02}{} $,$7.0 bs_per $,$ bs SI{4.3e-02}{} $,$7.9 bs_per $,$ bs SI{1.6e-02}{} $,$8.8 bs_per $,$ bs SI{2.7e-02}{} $,bs cellcolor[HTML]{FE996B} $ 38.2 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{3.4e-01}{} $,bs cellcolor[HTML]{FE996B} $ 35.9 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.3e-01}{} $
,$ bs text{TC-15} $,$5.8 bs_per $,$ bs SI{2.6e-02}{} $,$7.2 bs_per $,$ bs SI{3.6e-02}{} $,$7.9 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{5.2e-01}{} $,$8.5 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{7.9e-01}{} $,$4.6 bs_per $,$ bs SI{3.2e-02}{} $,bs cellcolor[HTML]{FE996B} $ 34.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{2.4e-01}{} $
,$ bs text{TC-16} $,$5.9 bs_per $,$ bs SI{2.4e-02}{} $,$5.7 bs_per $,$ bs SI{3.3e-02}{} $,$7.4 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{7.8e+00}{} $,$7.6 bs_per $,bs cellcolor[HTML]{FE996B} $ bs SI{9.1e+00}{} $,$4.6 bs_per $,$ bs SI{2.4e-02}{} $,$5.1 bs_per $,$ bs SI{2.7e-02}{} $
